"","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year"
"987240",1137717,2014334472,"X",47,"PROPERTY FOUND","X","STOLEN PROPERTY","10/06/2014 01:18:00 PM","10/06/2014 01:18:00 PM","","15XX BLOCK OF 11 AV","E","E2","7500.4014",-122.318153381,47.614673615,"(47.614673615, -122.318153381)",10,2014
"353420",1611734,201893940,"1316",4,"THREATS-OTHER","1300","THREATS","03/15/2018 11:39:00 PM","03/15/2018 11:39:00 PM","","19XX BLOCK OF 20 AV S","R","R1","9400.3006",-122.306838989,47.585922241,"(47.585922241, -122.306838989)",3,2018
"173946",1475731,2009406970,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","11/22/2009 01:19:00 PM","11/20/2009 11:00:00 PM","11/22/2009 12:00:00 PM","84XX BLOCK OF 25 AV SW","F","F2","11401.2003",-122.364509583,47.527381897,"(47.527381897, -122.364509583)",11,2009
"252220",1546037,2008343668,"5050",1,"HARASSMENT","5000","THREATS","09/13/2008 10:04:00 AM","09/10/2008 04:09:00 PM","09/13/2008 10:04:00 AM","7XX BLOCK OF GALER ST","D","D2","6700.1013",-122.343200684,47.632301331,"(47.632301331, -122.343200684)",9,2008
"698834",955123,201265084,"5213",0,"WEAPON-DISCHARGE","5200","WEAPON","03/03/2012 04:09:00 AM","03/03/2012 04:09:00 AM","","81XX BLOCK OF RAINIER AV S","S","S2","11800.6000",-122.269989014,47.529941559,"(47.529941559, -122.269989014)",3,2012
"52509",1428189,2010307612,"X",76,"NARC-FOUND-PILL/TABLET","X","NARCOTICS","09/02/2010 05:58:00 PM","09/02/2010 05:58:00 PM","09/02/2010 05:58:00 PM","23XX BLOCK OF SW WEBSTER ST","F","F1","10701.2011",-122.3621521,47.535514832,"(47.535514832, -122.3621521)",9,2010
"798138",790027,2014902014,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","03/14/2014 12:03:00 PM","03/14/2014 05:50:00 AM","03/14/2014 08:30:00 AM","INTERLAKE AV N / N LUCAS PL","B","B3","5400.4014",-122.34085083,47.656093597,"(47.656093597, -122.34085083)",3,2014
"349325",1310453,2017398367,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","10/27/2017 01:59:00 AM","10/26/2017 07:30:00 AM","10/26/2017 11:30:00 PM","28XX BLOCK OF 21 AV S","R","R1","10002.3013",-122.305366516,47.577693939,"(47.577693939, -122.305366516)",10,2017
"200493",1493025,2009284805,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","08/13/2009 07:58:00 AM","08/12/2009 06:30:00 PM","08/13/2009 07:45:00 AM","77XX BLOCK OF 12 AV SW","F","F3","11300.5001",-122.350563049,47.532974243,"(47.532974243, -122.350563049)",8,2009
"600997",1098589,2016456525,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","12/20/2016 07:02:00 PM","12/20/2016 07:02:00 PM","","59XX BLOCK OF E MARGINAL WY S","O","O3","10900.2020",-122.334793091,47.549190521,"(47.549190521, -122.334793091)",12,2016
"137197",1069444,2016401852,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","11/06/2016 10:31:00 AM","11/05/2016 03:00:00 PM","11/06/2016 09:15:00 AM","32XX BLOCK OF NE 87 ST","U","U3","2100.1022",-122.292030334,47.691646576,"(47.691646576, -122.292030334)",11,2016
"315701",1279769,2017340220,"2204",0,"BURGLARY-NOFORCE-RES","2200","BURGLARY","09/13/2017 02:24:00 AM","09/13/2017 02:24:00 AM","09/13/2017 02:24:00 AM","9XX BLOCK OF N 79 ST","J","J3","2800.1",-122.345855713,47.686222076,"(47.686222076, -122.345855713)",9,2017
"470041",344487,2009321923,"5707",0,"TRESPASS","5700","TRESPASS","09/11/2009 05:19:00 PM","09/11/2009 03:00:00 PM","","4XX BLOCK OF 3 AV","K","K2","8100.2044",-122.330510334,47.601885907,"(47.601885907, -122.330510334)",9,2009
"366651",1325734,2017432881,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","11/22/2017 08:16:00 PM","11/22/2017 08:16:00 PM","","4XX BLOCK OF NE NORTHGATE WY","L","L2","1200.4010",-122.324615479,47.708602905,"(47.708602905, -122.324615479)",11,2017
"411133",275592,2010902447,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","12/18/2010 02:41:00 PM","12/17/2010 11:00:00 AM","12/18/2010 02:00:00 PM","55XX BLOCK OF 28 AV NW","B","B1","3200.3007",-122.392868506,47.669058658,"(47.669058658, -122.392868506)",12,2010
"630138",1255543,2017293736,"2699",1,"FRAUD-OTHER","2600","FRAUD","08/09/2017 01:46:00 PM","08/09/2017 01:46:00 PM","","16XX BLOCK OF 5 AV N","Q","Q2","6700.4025",-122.34715271,47.634040833,"(47.634040833, -122.34715271)",8,2017
"805857",806280,2016116072,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","04/04/2016 03:08:00 PM","04/04/2016 10:30:00 AM","04/04/2016 11:00:00 AM","96XX BLOCK OF COLLEGE WY N","N","N3","1900.1021",-122.33505249,47.698677063,"(47.698677063, -122.33505249)",4,2016
"537868",422492,2008218563,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","06/17/2008 08:21:00 AM","06/16/2008 11:30:00 PM","06/17/2008 08:00:00 AM","N 38 ST / ASHWORTH AV N","B","B3","5400.3000",-122.340212422,47.652689289,"(47.652689289, -122.340212422)",6,2008
"103648",1133541,201749713,"2404",4,"VEH-THEFT-MTRCYCLE","2400","VEHICLE THEFT","02/10/2017 09:39:00 AM","02/09/2017 08:30:00 AM","02/09/2017 05:30:00 PM","XX BLOCK OF S KING ST","K","K2","9300.2014",-122.33480072,47.598293304,"(47.598293304, -122.33480072)",2,2017
"492395",370526,2009124606,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","04/13/2009 06:06:00 PM","04/13/2009 05:00:00 PM","","23XX BLOCK OF ELLIOTT AV","D","D1","8002.2012",-122.348882244,47.612430148,"(47.612430148, -122.348882244)",4,2009
