"","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year"
"961435",1044119,2016349984,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","09/26/2016 03:20:00 PM","09/22/2016 12:00:00 PM","09/24/2016 09:00:00 AM","NE 40 ST / PASADENA PL NE","U","U2","5200.2011",-122.321891785,47.655887604,"(47.655887604, -122.321891785)",9,2016
"798580",790806,2016902459,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","04/03/2016 10:33:00 PM","04/03/2016 05:00:00 AM","04/03/2016 07:30:00 AM","12 AV E / E MERCER ST","C","C1","7500.3001",-122.316734314,47.624259949,"(47.624259949, -122.316734314)",4,2016
"752605",732684,2014392735,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","11/24/2014 05:47:00 AM","11/23/2014 03:00:00 PM","11/24/2014 05:30:00 AM","19XX BLOCK OF TERRY AV","D","D2","7300.2021",-122.334228516,47.616664886,"(47.616664886, -122.334228516)",11,2014
"1080461",1395718,201194412,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","03/26/2011 03:23:00 PM","03/15/2011 03:30:00 PM","","24XX BLOCK OF BEACON AV S","R","R1","9400.4010",-122.314224243,47.58147049,"(47.58147049, -122.314224243)",3,2011
"2183",1034423,2016320041,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","09/03/2016 08:54:00 PM","09/03/2016 08:51:00 PM","","19XX BLOCK OF 15 AV E","C","C2","6200.3005",-122.313598633,47.636707306,"(47.636707306, -122.313598633)",9,2016
"1092022",1407732,201112459,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","01/11/2011 01:33:00 PM","01/10/2011 10:00:00 PM","01/11/2011 09:00:00 AM","57XX BLOCK OF SW ADMIRAL WY","W","W1","9701.1011",-122.406814575,47.57661438,"(47.57661438, -122.406814575)",1,2011
"772269",756105,2014245190,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","07/26/2014 06:24:00 PM","07/26/2014 06:24:00 PM","","15XX BLOCK OF BROADWAY","E","E2","7500.4015",-122.320793152,47.614654541,"(47.614654541, -122.320793152)",7,2014
"253832",1547607,2008331333,"2308",0,"THEFT-BUILDING","2300","OTHER PROPERTY","09/04/2008 05:21:00 PM","09/04/2008 05:15:00 PM","","20XX BLOCK OF NW MARKET ST","B","B1","4700.4024",-122.383926392,47.668678284,"(47.668678284, -122.383926392)",9,2008
"447208",317499,201040327,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","02/04/2010 04:23:00 PM","02/04/2010 03:00:00 PM","02/04/2010 04:00:00 PM","FREMONT AV N / N 34 ST","B","B2","4900.2032",-122.349747862,47.649587624,"(47.649587624, -122.349747862)",2,2010
"888626",920824,2012289395,"2316",0,"THEFT-MAIL","2300","MAIL THEFT","08/29/2012 10:19:00 AM","08/29/2012 10:19:00 AM","","106XX BLOCK OF 53 AV S","S","S3","11900.5011",-122.267478943,47.505931854,"(47.505931854, -122.267478943)",8,2012
"112300",1141647,201770307,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","02/26/2017 09:22:00 AM","02/25/2017 05:30:00 PM","02/26/2017 09:00:00 AM","7 AV W / W CREMONA ST","Q","Q2","5900.3005",-122.366256714,47.649776459,"(47.649776459, -122.366256714)",2,2017
"278854",1571204,2008137141,"2304",1,"THEFT-AUTOACC","2300","OTHER PROPERTY","04/16/2008 11:10:00 PM","04/16/2008 07:00:00 PM","04/16/2008 11:10:00 PM","OCCIDENTAL AV S / S HOLGATE ST","O","O1","9300.2060",-122.333267212,47.586105347,"(47.586105347, -122.333267212)",4,2008
"63968",1093883,2016430648,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","11/30/2016 04:14:00 AM","11/30/2016 04:14:00 AM","","1XX BLOCK OF NICKERSON ST","Q","Q2","6000.4015",-122.354866028,47.648483276,"(47.648483276, -122.354866028)",11,2016
"430300",298571,2010278541,"1203",3,"ROBBERY-BUSINESS-BODYFORCE","1200","ROBBERY","08/10/2010 10:09:00 PM","08/10/2010 08:30:00 PM","","71XX BLOCK OF DELRIDGE WY SW","F","F1","10800.2004",-122.361014914,47.538550788,"(47.538550788, -122.361014914)",8,2010
"722651",697933,2015201033,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","06/15/2015 03:02:00 PM","03/01/2015 12:00:00 PM","05/31/2015 11:00:00 PM","20XX BLOCK OF NW 64 ST","B","B1","3300.4004",-122.383476257,47.675285339,"(47.675285339, -122.383476257)",6,2015
"822379",840189,2013433102,"2902",0,"PROPERTY DAMAGE-RESIDENTIAL","2900","PROPERTY DAMAGE","12/02/2013 08:43:00 AM","12/02/2013 08:43:00 AM","","29XX BLOCK OF S WILLOW ST","S","S1","11002.2020",-122.294387817,47.540721893,"(47.540721893, -122.294387817)",12,2013
"155302",1182136,2017147307,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","04/27/2017 09:23:00 PM","04/27/2017 08:08:00 PM","","40XX BLOCK OF CALIFORNIA AV SW","W","W2","9800.4008",-122.386772156,47.567462921,"(47.567462921, -122.386772156)",4,2017
"748273",727757,2014429068,"2605",0,"FRAUD-CREDIT CARD","2600","FRAUD","12/29/2014 08:56:00 PM","12/29/2014 07:00:00 PM","","BROADWAY E / E REPUBLICAN ST","E","E1","7401.2003",-122.320922852,47.623126984,"(47.623126984, -122.320922852)",12,2014
"475780",350824,2009274882,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","08/05/2009 01:17:00 PM","07/24/2009 12:00:00 PM","08/03/2009 12:00:00 PM","77XX BLOCK OF 35 AV NE","U","U3","2400.3008",-122.29056802,47.685767996,"(47.685767996, -122.29056802)",8,2009
"595317",1652159,2018115792,"2599",0,"COUNTERFEIT","2500","COUNTERFEIT","04/02/2018 04:08:00 PM","04/02/2018 04:08:00 PM","","24XX BLOCK OF 4 AV S","O","O1","9300.3015",-122.329055786,47.580852509,"(47.580852509, -122.329055786)",4,2018
"363774",1614804,201894392,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","03/16/2018 12:21:00 PM","03/15/2018 11:40:00 AM","","26XX BLOCK OF NE 46 ST","U","U3","4301.1014",-122.299545288,47.661769867,"(47.661769867, -122.299545288)",3,2018
"25444",1057742,2016378507,"5015",1,"WARRARR-FELONY","5000","WARRANT ARREST","10/19/2016 12:10:00 PM","10/19/2016 12:10:00 PM","","90XX BLOCK OF HOLMAN RD NW","J","J1","1600.3003",-122.375686646,47.694488525,"(47.694488525, -122.375686646)",10,2016
"679128",328671,2009423711,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","12/08/2009 07:44:00 PM","12/04/2009 08:00:00 PM","12/05/2009 08:50:00 AM","4XX BLOCK OF W MC GRAW PL","Q","Q2","5900.5027",-122.363006939,47.640780122,"(47.640780122, -122.363006939)",12,2009
"632809",1260129,2017300398,"5707",0,"TRESPASS","5700","TRESPASS","08/14/2017 03:16:00 PM","08/14/2017 03:16:00 PM","08/14/2017 03:16:00 PM","117XX BLOCK OF AURORA AV N","N","N2","600.3007",-122.344894409,47.71717453,"(47.71717453, -122.344894409)",8,2017
"804872",803256,2016142670,"5707",0,"TRESPASS","5700","TRESPASS","04/25/2016 10:00:00 AM","04/25/2016 09:45:00 AM","","36XX BLOCK OF 34 AV S","R","R2","10100.5015",-122.28993988,47.570674896,"(47.570674896, -122.28993988)",4,2016
"209516",1502353,2009210489,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","06/18/2009 09:24:00 AM","06/17/2009 11:00:00 PM","06/18/2009 08:00:00 AM","38XX BLOCK OF SW ADMIRAL WY","W","W1","9800.1007",-122.380683899,47.581157684,"(47.581157684, -122.380683899)",6,2009
"631398",1257556,2017297447,"X",72,"NARC-FOUND-METH","X","NARCOTICS","08/12/2017 02:17:00 AM","08/12/2017 02:17:00 AM","","NE 145 ST / 35 AV NE","L","L3","100.2001",-122.291183472,47.73374176,"(47.73374176, -122.291183472)",8,2017
"789651",777490,2014118506,"5707",0,"TRESPASS","5700","TRESPASS","04/18/2014 09:05:00 AM","04/18/2014 09:05:00 AM","","2XX BLOCK OF 1 AV S","K","K2","9200.2023",-122.334182739,47.600479126,"(47.600479126, -122.334182739)",4,2014
"418341",284229,2010379449,"2605",0,"FRAUD-CREDIT CARD","2600","FRAUD","10/30/2010 03:26:00 PM","10/30/2010 03:26:00 PM","","59XX BLOCK OF AIRPORT WY S","O","O3","10900.2075",-122.317481051,47.549829286,"(47.549829286, -122.317481051)",10,2010
"301041",1589797,2017332031,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","09/06/2017 06:57:00 PM","09/06/2017 06:57:00 PM","","19XX BLOCK OF WESTERN AV","M","M1","8100.3011",-122.342880249,47.60981369,"(47.60981369, -122.342880249)",9,2017
"687009",657768,20166343,"5016",1,"VIOL-COURT ORDER","5000","VIOLATION OF COURT ORDER","01/06/2016 04:17:00 PM","01/06/2016 11:30:00 AM","","16XX BLOCK OF 5 AV W","Q","Q2","6900.2000",-122.363685608,47.6341362,"(47.6341362, -122.363685608)",1,2016
"47715",1078787,2016907802,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","11/07/2016 05:07:00 PM","10/23/2016 04:45:00 AM","10/23/2016 10:45:00 AM","122XX BLOCK OF PHINNEY AV N","N","N1","402.4002",-122.354225159,47.71869278,"(47.71869278, -122.354225159)",11,2016
"1055549",1356387,2017461276,"1203",3,"ROBBERY-BUSINESS-BODYFORCE","1200","ROBBERY","12/15/2017 11:08:00 AM","12/15/2017 11:08:00 AM","","6XX BLOCK OF 5 AV S","K","K3","9100.2009",-122.327682495,47.596656799,"(47.596656799, -122.327682495)",12,2017
"1079648",1394798,2011901231,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","04/06/2011 06:39:00 PM","04/06/2011 01:05:00 PM","04/06/2011 04:35:00 PM","6XX BLOCK OF N 44 ST","B","B2","4900.5007",-122.350517273,47.660217285,"(47.660217285, -122.350517273)",4,2011
"890422",923024,2012274682,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","08/18/2012 09:38:00 AM","08/17/2012 07:00:00 PM","08/18/2012 05:00:00 AM","90XX BLOCK OF 18 AV SW","F","F2","11402.2001",-122.357803345,47.521949768,"(47.521949768, -122.357803345)",8,2012
"85191",1439747,2010213841,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","06/24/2010 12:12:00 AM","06/24/2010 12:10:00 AM","","14XX BLOCK OF N 45 ST","B","B3","5000.1042",-122.339912415,47.661384583,"(47.661384583, -122.339912415)",6,2010
"201533",1494097,2009275623,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","08/05/2009 10:42:00 PM","08/05/2009 07:45:00 AM","08/05/2009 10:38:00 PM","25XX BLOCK OF 3 AV W","Q","Q2","5900.5029",-122.360916138,47.641719818,"(47.641719818, -122.360916138)",8,2009
"757233",737771,2014352988,"X",70,"NARC-FOUND-MARIJU","X","NARCOTICS","10/21/2014 07:25:00 PM","10/21/2014 07:25:00 PM","","15XX BLOCK OF NW 58 ST","B","B1","4700.3010",-122.377548218,47.670902252,"(47.670902252, -122.377548218)",10,2014
"917393",958931,201236392,"X",69,"VEH-RCVD-FOR OTHER AGENCY","X","VEHICLE THEFT","02/06/2012 09:33:00 AM","02/06/2012 09:33:00 AM","","12 AV NW / NW 90 ST","J","J1","1702.3013",-122.371406555,47.694252014,"(47.694252014, -122.371406555)",2,2012
"166237",1192186,2017168899,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","05/13/2017 09:43:00 PM","05/13/2017 09:43:00 PM","","95XX BLOCK OF ASHWORTH AV N","N","N3","1300.3021",-122.33971405,47.698696136,"(47.698696136, -122.33971405)",5,2017
"218090",1511063,2009134930,"2301",0,"THEFT-PKPOCKET","2300","PICKPOCKET","04/21/2009 02:23:00 PM","03/17/2009 06:00:00 PM","03/17/2009 06:30:00 PM","3 AV / PIKE ST","M","M3","8100.2013",-122.337791443,47.60974884,"(47.60974884, -122.337791443)",4,2009
"205133",1497778,2009247528,"1202",2,"ROBBERY-BUSINESS-WEAPON","1200","ROBBERY","07/16/2009 10:31:00 AM","07/16/2009 10:31:00 AM","","54XX BLOCK OF CALIFORNIA AV SW","W","W2","10500.3014",-122.387016296,47.553001404,"(47.553001404, -122.387016296)",7,2009
"243847",1537702,2008411020,"2699",1,"FRAUD-OTHER","2600","FRAUD","11/01/2008 08:52:00 PM","11/01/2008 08:52:00 PM","11/01/2008 08:52:00 PM","116XX BLOCK OF 54 AV S","S","S3","11900.4014",-122.266334534,47.498493195,"(47.498493195, -122.266334534)",11,2008
"254668",1548388,2008325223,"1305",0,"ASSLT-AGG-WEAPON","1300","ASSAULT","08/31/2008 02:17:00 AM","08/31/2008 02:17:00 AM","08/31/2008 02:17:00 AM","14XX BLOCK OF BROADWAY","E","E2","8400.1008",-122.320770264,47.613517761,"(47.613517761, -122.320770264)",8,2008
"553194",438823,200888290,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","03/08/2008 12:29:00 PM","03/08/2008 12:20:00 PM","","87XX BLOCK OF 15 AV NW","J","J1","1600.3007",-122.376700232,47.692787686,"(47.692787686, -122.376700232)",3,2008
"100691",1130661,2017900935,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","01/31/2017 03:25:00 PM","01/24/2017 12:00:00 AM","01/24/2017 01:00:00 AM","50XX BLOCK OF 15 AV NE","U","U1","4400.4009",-122.311927795,47.665660858,"(47.665660858, -122.311927795)",1,2017
"349922",1310953,201776304,"3542",1,"NARC-POSSESS-METH","3500","NARCOTICS","03/03/2017 02:26:00 AM","03/03/2017 02:26:00 AM","","AURORA AV N / WINONA AV N","J","J3","2700.4025",-122.344490051,47.682769775,"(47.682769775, -122.344490051)",3,2017
"117706",1453055,2010101464,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","03/28/2010 11:35:00 AM","03/28/2010 11:35:00 AM","","21XX BLOCK OF 10 AV W","Q","Q2","6900.4002",-122.370315552,47.638679504,"(47.638679504, -122.370315552)",3,2010
"204186",1496826,2009255800,"3550",0,"NARC-EQUIPMENT/PARAPHENALIA","3500","NARCOTICS","07/22/2009 03:22:00 PM","07/22/2009 03:22:00 PM","","14XX BLOCK OF E JOHN ST","C","C1","7500.1010",-122.313911438,47.619960785,"(47.619960785, -122.313911438)",7,2009
"163692",1472055,2009428563,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","12/12/2009 11:30:00 PM","12/12/2009 07:00:00 AM","","33XX BLOCK OF 25 AV S","R","R1","10001.1017",-122.300666809,47.573562622,"(47.573562622, -122.300666809)",12,2009
"858314",882423,2013117621,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","04/08/2013 08:54:00 AM","04/08/2013 08:54:00 AM","","28XX BLOCK OF RAINIER AV S","R","R2","10001.1003",-122.297836304,47.57793808,"(47.57793808, -122.297836304)",4,2013
"1036912",1295144,2017374026,"5403",0,"DUI-DRUGS","5400","DUI","10/08/2017 05:30:00 AM","10/07/2017 12:41:00 AM","","COLORADO AV S / S HANFORD ST","O","O1","9300.3039",-122.336791992,47.575572968,"(47.575572968, -122.336791992)",10,2017
"628561",1252594,2017287767,"1203",3,"ROBBERY-BUSINESS-BODYFORCE","1200","ROBBERY","08/05/2017 09:14:00 AM","08/04/2017 01:20:00 PM","","6XX BLOCK OF 5 AV S","K","K3","9100.2009",-122.327682495,47.596656799,"(47.596656799, -122.327682495)",8,2017
"495878",375014,200994660,"2308",0,"THEFT-BUILDING","2300","OTHER PROPERTY","03/19/2009 08:05:00 PM","03/17/2009 07:30:00 PM","03/17/2009 09:00:00 PM","23XX BLOCK OF NW MARKET ST","B","B1","4700.4010",-122.386972263,47.668680545,"(47.668680545, -122.386972263)",3,2009
